Event,Next step,Validation conclusion,Review conclusion,Glitch subtraction,Finalized,Links,Status
S231014r,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231014r), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231014), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202310/S231014r/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231014r)",
S231020ba,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231020ba), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231020), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202310/S231020ba/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231020ba)",
S231020bw,Retracted,Retracted,Retracted,Retracted,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231020bw), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231020), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202310/S231020bw/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231020bw)",
S231028bg,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231028bg), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231028), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202310/S231028bg/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231028bg)",
S231029y,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231029y), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231029), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202310/S231029y/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231029y)",
S231102w,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231102w), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231102), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231102w/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231102w)",
S231104ac,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231104ac), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231104), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231104ac/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231104ac)",
S231108u,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231108u), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231108), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231108u/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231108u)",
S231110g,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231110g), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231110), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231110g/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231110g)",
S231112ag,Retracted,Retracted,Retracted,Retracted,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231112ag), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231112), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231112ag/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231112ag)",
S231113bb,PE ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Noise mitigation required,Required,No,"[GraceDB](https://gracedb.ligo.org//superevents/S231113bb), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231113), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231113bb/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231113bb)",
S231113bw,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231113bw), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231113), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231113bw/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231113bw)",
S231114n,PE ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Noise mitigation required,Required,No,"[GraceDB](https://gracedb.ligo.org//superevents/S231114n), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231114), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231114n/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231114n)",
S231118d,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231118d), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231118), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231118d/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231118d)",
S231118ab,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231118ab), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231118), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231118ab/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231118ab)",
S231118an,PE ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Noise mitigation required,Required,No,"[GraceDB](https://gracedb.ligo.org//superevents/S231118an), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231118), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231118an/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231118an)",
S231119u,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231119u), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231119), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231119u/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231119u)",
S231123cg,PE ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,Noise mitigation required,In progress,No,"[GraceDB](https://gracedb.ligo.org//superevents/S231123cg), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231123), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231123cg/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231123cg)",
S231127cg,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231127cg), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231127), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231127cg/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231127cg)",
S231129ac,PE ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,Noise mitigation required,Required,No,"[GraceDB](https://gracedb.ligo.org//superevents/S231129ac), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231129), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202311/S231129ac/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231129ac)",
S231206ca,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231206ca), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231206), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202312/S231206ca/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231206ca)",
S231206cc,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231206cc), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231206), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202312/S231206cc/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231206cc)",
S231213ap,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231213ap), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231213), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202312/S231213ap/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231213ap)",
S231223j,PE ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Noise mitigation required,Required,No,"[GraceDB](https://gracedb.ligo.org//superevents/S231223j), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231223), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202312/S231223j/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231223j)",
S231224e,PE ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,DQ issues but no noise mitigation required,Not required,No,"[GraceDB](https://gracedb.ligo.org//superevents/S231224e), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231224), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202312/S231224e/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231224e)",
S231226av,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231226av), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231226), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202312/S231226av/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231226av)",
S231231ag,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231231ag), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231231), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202312/S231231ag/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231231ag)",
S240104bl,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S240104bl), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240104), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202401/S240104bl/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240104bl)",
S240107b,PE ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240107b), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240107), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202401/S240107b/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240107b)",
S240109a,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S240109a), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240109), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202401/S240109a/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240109a)",
S240406aj,Review ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240406aj), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240406), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240406aj/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240406aj)",
S240413p,Review ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240413p), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240413), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240413p/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240413p)",
S240420aw,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240420aw), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240420), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240420aw/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240420aw)",
S240421ar,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240421ar), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240421), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240421ar/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240421ar)",
S240422ed,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240422ed), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240422), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240422ed/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240422ed)",
S240423br,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240423br), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240423), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240423br/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240423br)",
S240426s,Review ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240426s), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240426), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240426s/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240426s)",
S240426dl,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240426dl), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240426), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240426dl/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240426dl)",
S240428dr,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240428dr), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240428), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240428dr/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240428dr)",
S240430ca,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240430ca), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240430), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202404/S240430ca/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240430ca)",
S240501an,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240501an), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240501), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240501an/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240501an)",
S240505av,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240505av), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240505), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240505av/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240505av)",
S240507p,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240507p), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240507), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240507p/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240507p)",
S240511i,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240511i), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240511), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240511i/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240511i)",
S240512r,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240512r), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240512), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240512r/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240512r)",
S240513ei,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240513ei), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240513), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240513ei/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240513ei)",
S240514c,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240514c), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240514), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240514c/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240514c)",
S240514x,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240514x), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240514), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240514x/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240514x)",
S240515m,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240515m), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240515), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240515m/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240515m)",
S240520cv,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240520cv), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240520), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240520cv/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240520cv)",
S240525p,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240525p), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240525), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240525p/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240525p)",
S240527en,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240527en), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240527), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240527en/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240527en)",
S240527fv,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240527fv), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240527), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240527fv/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240527fv)",
S240530a,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240530a), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240530), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240530a/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240530a)",
S240531bp,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240531bp), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240531), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240531bp/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240531bp)",
S240601aj,Event validation ([contact](mailto:dishari.malakar@ligo.org)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240601aj), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240601), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240601aj/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240601aj)",
S240601co,Event validation ([contact](mailto:dishari.malakar@ligo.org)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240601co), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240601), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240601co/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240601co)",
S240615dg,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240615dg), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240615), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240615dg/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240615dg)",
S240615ea,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240615ea), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240615), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240615ea/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240615ea)",
S240618ah,Event validation ([contact](mailto:shivaraj@iucaa.in)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240618ah), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240618), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240618ah/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240618ah)",
S240621dy,Event validation ([contact](mailto:shivaraj@iucaa.in)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240621dy), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240621), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240621dy/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240621dy)",
S240621eb,Event validation ([contact](mailto:shivaraj@iucaa.in)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240621eb), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240621), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240621eb/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240621eb)",
S240621em,Event validation ([contact](mailto:shivaraj@iucaa.in)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240621em), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240621), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240621em/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240621em)",
S240622h,Event validation ([contact](mailto:shivaraj@iucaa.in)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240622h), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240622), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240622h/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240622h)",
S240624cd,Event validation ([contact](mailto:shivaraj@iucaa.in)),Not ready,Not ready,,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240624cd), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240624), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240624cd/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240624cd)",
S240627by,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240627by), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240627), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240627by/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240627by)",
